Designator,Mid X,Mid Y,Rotation,Layer
C1,143.7,-123.9,0.0,top
C10,171.25,-108.8875,90.0,top
C11,169.25,-125.55,90.0,top
C12,175.25,-125.55,90.0,top
C13,177.6,-122.9,0.0,top
C14,177.6,-124.7,0.0,top
C15,140.075,-70.925,0.0,top
C16,172.75,-108.8875,90.0,top
C17,177.3,-111.4,0.0,top
C18,178.8,-118.9,0.0,top
C19,174.237466,-108.875709,90.0,top
C2,146.3,-124.5,270.0,top
C20,178.8,-112.9,0.0,top
C21,178.8,-115.8875,0.0,top
C22,178.8,-114.4,0.0,top
C24,178.8,-117.4,0.0,top
C25,154.862294,-79.194693,90.0,top
C26,153.4,-79.2,90.0,top
C27,157.8,-131.2,0.0,top
C28,157.8,-132.71,0.0,top
C29,157.8,-134.21,0.0,top
C3,141.3,-125.3,90.0,top
C30,130.65,-70.25,270.0,top
C4,157.6375,-72.7,270.0,top
C5,167.15,-128.9,180.0,top
C6,167.35,-105.3375,180.0,top
C7,141.25,-130.25,270.0,top
C8,159.1375,-72.7,270.0,top
C9,164.8,-72.7,270.0,top
D1,166.8,-123.3,90.0,top
D2,124.85,-66.9,0.0,top
D3,126.2075,-74.25,270.0,top
D4,119.8175,-79.52,180.0,top
D5,166.8,-120.3,270.0,top
F1,142.9,-70.9,90.0,top
FID1,117.5,-133.5,0.0,top
FID2,117.5,-133.5,0.0,bottom
FID3,177.25,-66.25,0.0,bottom
FID4,177.25,-66.25,0.0,top
J1,150.0,-66.94,180.0,top
J2,168.415,-131.5,90.0,top
J3,150.0,-128.78,0.0,top
J4,120.4,-90.0,90.0,top
J5,179.6,-90.0,270.0,top
L1,120.9,-73.175,90.0,top
Q1,138.568002,-125.415,0.0,top
Q2,131.830502,-128.365,0.0,top
Q3,138.568002,-130.365,0.0,top
Q4,129.848334,-75.246666,90.0,top
Q5,126.45,-70.3625,0.0,top
R10,165.3,-120.3,270.0,top
R14,165.3,-123.3,270.0,top
R15,138.510128,-127.886433,0.0,top
R16,126.625,-126.25,0.0,top
R18,135.1,-124.375,0.0,top
R19,182.325,-90.8,0.0,top
R2,163.1,-105.332629,0.0,top
R20,142.0,-132.5,0.0,top
R21,129.8,-133.215,90.0,top
R22,131.3,-133.215,270.0,top
R23,135.8,-133.215,90.0,top
R24,147.0,-75.830803,270.0,top
R25,138.655502,-132.965,0.0,top
R26,128.3,-133.215,90.0,top
R27,148.5,-75.830803,270.0,top
R28,134.3,-133.215,90.0,top
R29,132.8,-133.215,270.0,top
R3,147.6,-73.6,0.0,top
R30,137.075,-70.925,0.0,top
R31,144.6,-78.2,180.0,top
R32,141.2,-76.85,0.0,top
R33,141.2,-75.35,0.0,top
R34,120.0,-124.2,90.0,top
R35,126.625,-127.75,0.0,top
R36,129.948334,-72.546666,180.0,top
R37,129.15,-70.25,270.0,top
R4,153.0,-73.6,180.0,top
R5,142.5,-128.0,180.0,top
R6,142.75,-130.25,90.0,top
R7,176.7,-107.45,90.0,top
R8,178.2,-107.45,90.0,top
R9,178.8,-121.4,180.0,top
SW1,167.5,-66.25,0.0,top
SW2,165.45,-78.65,0.0,top
SW3,132.5,-66.25,0.0,top
TH1,144.6,-79.7,0.0,top
TH2,182.325,-89.3,0.0,top
U1,143.75,-125.9,0.0,top
U2,150.4,-74.4,270.0,top
U3,165.5,-109.0,0.0,top
U4,161.9375,-72.7,180.0,top
U5,172.75,-117.2,90.0,top
U7,150.0,-79.2,90.0,top
U8,135.4875,-74.45,270.0,top
Y1,172.25,-125.55,0.0,top
